   226.556992       7.64622831      -4953.03027      -9144.02539    
   226.048920       8.56508732      -4953.03027      -8953.52539    
   225.524033       9.49213982      -4953.03027      -8763.02539    
   224.981552       10.4270983      -4953.03027      -8572.52539    
   224.420700       11.3696432      -4953.03027      -8382.02539    
   223.840622       12.3194132      -4953.03027      -8191.52588    
   223.240448       13.2760172      -4953.03027      -8001.02588    
   222.619247       14.2390137      -4953.03027      -7810.52588    
   221.976059       15.2079191      -4953.03027      -7620.02588    
   221.309860       16.1822033      -4953.03027      -7429.52588    
   220.619583       17.1612835      -4953.03027      -7239.02588    
   219.904114       18.1445236      -4953.03027      -7048.52588    
   219.162277       19.1312294      -4953.03027      -6858.02588    
   218.392868       20.1206493      -4953.03027      -6667.52588    
   217.594589       21.1119614      -4953.03027      -6477.02588    
   216.766113       22.1042824      -4953.03027      -6286.52588    
   215.906082       23.0966511      -4953.03027      -6096.02588    
   215.013062       24.0880337      -4953.03027      -5905.52588    
   214.085571       25.0773163      -4953.03027      -5715.02588    
   213.122086       26.0633030      -4953.03027      -5524.52588    
   212.121063       27.0447063      -4953.03027      -5334.02588    
   211.080887       28.0201550      -4953.03027      -5143.52588    
   209.999969       28.9881783      -4953.03027      -4953.02588    
   208.876678       29.9472103      -4953.03027      -4762.52588    
   207.709381       30.8955879      -4953.03027      -4572.02588    
   206.496460       31.8315430      -4953.03027      -4381.52588    
   205.236359       32.7532082      -4953.03027      -4191.02588    
   203.927551       33.6586151      -4953.03027      -4000.52563    
   202.568604       34.5456848      -4953.03027      -3810.02563    
   201.158218       35.4122505      -4953.03027      -3619.52563    
   199.695190       36.2560501      -4953.03027      -3429.02563    
   198.178558       37.0747261      -4953.03027      -3238.52563    
   196.607559       37.8658485      -4953.03027      -3048.02563    
   194.981705       38.6269112      -4953.03027      -2857.52563    
   193.300842       39.3553581      -4953.03027      -2667.02563    
   191.565155       40.0485992      -4953.03027      -2476.52563    
   189.775253       40.7040176      -4953.03027      -2286.02563    
   187.932220       41.3190041      -4953.03027      -2095.52563    
   186.037659       41.8909912      -4953.03027      -1905.02563    
   184.093643       42.4174576      -4953.03027      -1714.52563    
   182.102905       42.8959808      -4953.03027      -1524.02563    
   180.068680       43.3242722      -4953.03027      -1333.52563    
   177.994827       43.7001915      -4953.03027      -1143.02563    
   175.885742       44.0218048      -4953.03027      -952.525696    
   173.746399       44.2874031      -4953.03027      -762.025696    
   171.582199       44.4955406      -4953.03027      -571.525696    
   169.398972       44.6450615      -4953.03027      -381.025665    
   167.202881       44.7351189      -4953.03027      -190.525681    
   165.000290       44.7652016      -4953.03027      -2.56793927E-02
   162.797714       44.7351341      -4953.03027       190.474319    
   160.601624       44.6450920      -4953.03027       380.974335    
   158.418396       44.4955902      -4953.03027       571.474304    
   156.254181       44.2874680      -4953.03027       761.974304    
   154.114822       44.0218849      -4953.03027       952.474304    
   152.005737       43.7002869      -4953.03027       1142.97437    
   149.931870       43.3243790      -4953.03027       1333.47437    
   147.897644       42.8961029      -4953.03027       1523.97437    
   227.487915       8.13607025      -4762.53027      -9144.02539    
   226.990738       9.07000351      -4762.53027      -8953.52539    
   226.476791       10.0126400      -4762.53027      -8763.02539    
   225.945312       10.9637070      -4762.53027      -8572.52539    
   225.395462       11.9229002      -4762.53027      -8382.02539    
   224.826401       12.8898754      -4762.53027      -8191.52588    
   224.237198       13.8642540      -4762.53027      -8001.02588    
   223.626923       14.8456106      -4762.53027      -7810.52588    
   222.994537       15.8334751      -4762.53027      -7620.02588    
   222.339020       16.8273296      -4762.53027      -7429.52588    
   221.659225       17.8266087      -4762.53027      -7239.02588    
   220.953995       18.8306828      -4762.53027      -7048.52588    
   220.222092       19.8388748      -4762.53027      -6858.02588    
   219.462250       20.8504353      -4762.53027      -6667.52588    
   218.673111       21.8645573      -4762.53027      -6477.02588    
   217.853256       22.8803558      -4762.53027      -6286.52588    
   217.001205       23.8968773      -4762.53027      -6096.02588    
   216.115448       24.9130878      -4762.53027      -5905.52588    
   215.194382       25.9278698      -4762.53027      -5715.02588    
   214.236343       26.9400177      -4762.53027      -5524.52588    
   213.239655       27.9482346      -4762.53027      -5334.02588    
   212.202560       28.9511318      -4762.53027      -5143.52588    
   211.123276       29.9472122      -4762.53027      -4953.02588    
   209.999969       30.9348812      -4762.53027      -4762.52588    
   208.830841       31.9124355      -4762.53027      -4572.02588    
   207.614044       32.8780632      -4762.53027      -4381.52588    
   206.347778       33.8298340      -4762.53027      -4191.02588    
   205.030258       34.7657166      -4762.53027      -4000.52563    
   203.659821       35.6835480      -4762.53027      -3810.02563    
   202.234848       36.5810699      -4762.53027      -3619.52563    
   200.753922       37.4559059      -4762.53027      -3429.02563    
   199.215744       38.3055840      -4762.53027      -3238.52563    
   197.619293       39.1275330      -4762.53027      -3048.02563    
   195.963821       39.9190903      -4762.53027      -2857.52563    
   194.248901       40.6775360      -4762.53027      -2667.02563    
   192.474518       41.4000893      -4762.53027      -2476.52563    
   190.641113       42.0839348      -4762.53027      -2286.02563    
   188.749619       42.7262573      -4762.53027      -2095.52563    
   186.801544       43.3242569      -4762.53027      -1905.02563    
   184.799026       43.8751945      -4762.53027      -1714.52563    
   182.744843       44.3764114      -4762.53027      -1524.02563    
   180.642441       44.8253860      -4762.53027      -1333.52563    
   178.495941       45.2197647      -4762.53027      -1143.02563    
   176.310165       45.5573997      -4762.53027      -952.525696    
   174.090515       45.8363876      -4762.53027      -762.025696    
   171.843033       46.0551262      -4762.53027      -571.525696    
   169.574203       46.2123146      -4762.53027      -381.025665    
